기준년도,업종대분류명,업종중분류명,법인명,브랜드명,가맹점수,신규가맹점등록수,계약종료수,계약해지수,명변경수,평균매출금액,면적단위평균매출금액
2018,외식,기타 외식,(주)속초새우아저씨,속초새우아저씨,0,0,0,0,0,0,0
2018,외식,기타 외식,(주)송상트레이딩,쭉심,13,1,0,2,0,303333,12297
2018,외식,기타 외식,(주)수철에프앤비,수철이네왕새우튀김,47,28,0,2,1,291026,18535
2018,외식,기타 외식,(주)순곱이네프랜차이즈,순곱이네,33,7,2,21,3,228405,0
2018,외식,기타 외식,(주)쉐프코리아,화주부(화덕피자 주는 부대찌개),5,0,0,5,1,312268,8578
2018,외식,기타 외식,(주)신창NC,오징어나라,78,7,38,3,3,243997,5586
2018,외식,기타 외식,(주)씨드앤너츠,씨드앤너츠,18,1,0,4,1,109027,10848
2018,외식,기타 외식,(주)씨앤비컴퍼니,커피인뉴욕,9,0,0,0,0,379444,31620
2018,외식,기타 외식,(주)씨엔에프알티에스,펍피맥,1,1,0,0,0,0,0
2018,외식,기타 외식,(주)씨엠씨에프씨,종로상회,25,0,6,0,1,594593,5885
2018,외식,기타 외식,(주)씨엠월드에프앤씨,갈매기먹짱,49,10,7,13,1,161304,5489
2018,외식,기타 외식,(주)아그집쭈꾸미,아그집쭈꾸미,21,1,0,11,0,407909,7217
2018,외식,기타 외식,(주)아리솔에프씨,꽃담은소,4,2,0,2,0,457910,9742
2018,외식,기타 외식,(주)아이언랩,숙달돼지,4,4,0,0,0,0,0
2018,외식,기타 외식,(주)아이지푸드,돼지연구소,0,0,0,0,0,0,0
2018,외식,기타 외식,(주)아정푸드시스템,추오정,33,3,1,0,1,547212,7053
2018,외식,기타 외식,(주)아하엔파트너스,방스만두,1,1,0,0,0,0,0
2018,외식,기타 외식,(주)알로하바베퀸,알로하바베퀸,0,0,0,0,0,0,0
2018,외식,기타 외식,(주)알앤씨,삼돈이,3,3,0,0,0,126500,6584
2018,외식,기타 외식,(주)알피,닭코치 비어선수,0,0,0,0,0,0,0
2018,외식,기타 외식,(주)앤리치,고돼지,1,1,0,0,0,0,0
2018,외식,기타 외식,(주)양연에프엔비,양연화로,4,4,0,0,0,0,0
2018,외식,기타 외식,(주)어다리,만원선,0,0,0,0,0,0,0
2018,외식,기타 외식,(주)어다한,범표어묵,0,0,0,0,0,0,0
